,Date,Price
613,2014-09-05,486.88
614,2014-09-06,484.92
615,2014-09-07,485.85
616,2014-09-08,475.35
617,2014-09-09,472.02
618,2014-09-10,481.11
619,2014-09-11,478.75
620,2014-09-12,476.24
621,2014-09-13,478.52
622,2014-09-14,478.01
623,2014-09-15,477.23
624,2014-09-16,471.56
625,2014-09-17,460.88
626,2014-09-18,440.97
627,2014-09-19,406.26
628,2014-09-20,410.69
629,2014-09-21,401.48
630,2014-09-22,402.54
631,2014-09-23,408.88
632,2014-09-24,426.93
633,2014-09-25,413.58
634,2014-09-26,406.41
635,2014-09-27,402.73
636,2014-09-28,392.29
637,2014-09-29,378.85
638,2014-09-30,381.08
639,2014-10-01,385.55
640,2014-10-02,380.45
641,2014-10-03,370.39
642,2014-10-04,347.85
643,2014-10-05,317.85
644,2014-10-06,325.42
645,2014-10-07,331.19
646,2014-10-08,338.96
647,2014-10-09,363.13
648,2014-10-10,363.19
649,2014-10-11,361.15
650,2014-10-12,363.76
651,2014-10-13,379.19
652,2014-10-14,402.04
653,2014-10-15,395.34
654,2014-10-16,388.03
655,2014-10-17,381.0
656,2014-10-18,386.69
657,2014-10-19,390.96
658,2014-10-20,384.3
659,2014-10-21,386.61
660,2014-10-22,385.39
661,2014-10-23,369.5
662,2014-10-24,358.76
663,2014-10-25,351.01
664,2014-10-26,352.56
665,2014-10-27,355.29
666,2014-10-28,357.15
667,2014-10-29,348.1
668,2014-10-30,339.5
669,2014-10-31,342.38
670,2014-11-01,330.68
671,2014-11-02,325.78
672,2014-11-03,329.39
673,2014-11-04,328.53
674,2014-11-05,338.12
675,2014-11-06,343.26
676,2014-11-07,345.94
677,2014-11-08,344.54
678,2014-11-09,351.33
679,2014-11-10,365.56
680,2014-11-11,367.84
681,2014-11-12,394.86
682,2014-11-13,431.16
683,2014-11-14,397.25
684,2014-11-15,387.3
685,2014-11-16,384.05
686,2014-11-17,396.79
687,2014-11-18,382.01
688,2014-11-19,380.05
689,2014-11-20,366.77
690,2014-11-21,352.39
691,2014-11-22,357.49
692,2014-11-23,359.64
693,2014-11-24,375.52
694,2014-11-25,383.65
695,2014-11-26,373.07
696,2014-11-27,372.72
697,2014-11-28,370.53
698,2014-11-29,379.08
699,2014-11-30,378.9
700,2014-12-01,381.05
701,2014-12-02,382.46
702,2014-12-03,380.02
703,2014-12-04,375.5
704,2014-12-05,374.1
705,2014-12-06,376.15
706,2014-12-07,377.47
707,2014-12-08,370.68
708,2014-12-09,354.25
709,2014-12-10,351.09
710,2014-12-11,352.9
711,2014-12-12,352.09
712,2014-12-13,349.52
713,2014-12-14,350.5
714,2014-12-15,349.38
715,2014-12-16,337.17
716,2014-12-17,324.08
717,2014-12-18,313.65
718,2014-12-19,313.97
719,2014-12-20,325.48
720,2014-12-21,325.46
721,2014-12-22,329.23
722,2014-12-23,334.51
723,2014-12-24,331.51
724,2014-12-25,321.91
725,2014-12-26,324.44
726,2014-12-27,321.26
727,2014-12-28,318.02
728,2014-12-29,317.39
729,2014-12-30,315.68
730,2014-12-31,315.19
731,2015-01-01,316.93
732,2015-01-02,316.03
733,2015-01-03,305.19
734,2015-01-04,275.31
735,2015-01-05,272.66
736,2015-01-06,277.86
737,2015-01-07,289.06
738,2015-01-08,289.84
739,2015-01-09,285.94
740,2015-01-10,281.27
741,2015-01-11,274.69
742,2015-01-12,270.42
743,2015-01-13,241.05
744,2015-01-14,199.02
745,2015-01-15,206.87
746,2015-01-16,212.21
747,2015-01-17,201.75
748,2015-01-18,206.68
749,2015-01-19,212.69
750,2015-01-20,211.91
751,2015-01-21,215.91
752,2015-01-22,232.3
753,2015-01-23,230.6
754,2015-01-24,238.2
755,2015-01-25,248.82
756,2015-01-26,281.16
757,2015-01-27,261.64
758,2015-01-28,253.42
759,2015-01-29,232.72
760,2015-01-30,232.88
761,2015-01-31,228.53
762,2015-02-01,219.14
763,2015-02-02,227.5
764,2015-02-03,237.42
765,2015-02-04,226.28
766,2015-02-05,223.5
767,2015-02-06,220.81
768,2015-02-07,226.79
769,2015-02-08,225.8
770,2015-02-09,221.7
771,2015-02-10,219.58
772,2015-02-11,222.17
773,2015-02-12,221.34
774,2015-02-13,232.28
775,2015-02-14,246.19
776,2015-02-15,250.17
777,2015-02-16,234.68
778,2015-02-17,239.27
779,2015-02-18,240.47
780,2015-02-19,238.86
781,2015-02-20,243.82
782,2015-02-21,245.61
783,2015-02-22,242.63
784,2015-02-23,237.17
785,2015-02-24,239.93
786,2015-02-25,239.26
787,2015-02-26,237.7
788,2015-02-27,250.58
789,2015-02-28,253.52
790,2015-03-01,252.87
791,2015-03-02,262.8
792,2015-03-03,275.84
793,2015-03-04,279.54
794,2015-03-05,271.61
795,2015-03-06,273.54
796,2015-03-07,274.22
797,2015-03-08,276.03
798,2015-03-09,282.42
799,2015-03-10,294.11
800,2015-03-11,294.08
801,2015-03-12,295.47
802,2015-03-13,291.69
803,2015-03-14,284.15
804,2015-03-15,285.16
805,2015-03-16,291.9
806,2015-03-17,290.69
807,2015-03-18,275.09
808,2015-03-19,258.12
809,2015-03-20,262.61
810,2015-03-21,261.22
811,2015-03-22,263.2
812,2015-03-23,268.48
813,2015-03-24,257.33
814,2015-03-25,245.78
815,2015-03-26,250.04
816,2015-03-27,248.78
817,2015-03-28,252.66
818,2015-03-29,246.4
819,2015-03-30,246.04
820,2015-03-31,246.73
821,2015-04-01,244.94
822,2015-04-02,249.47
823,2015-04-03,254.7
824,2015-04-04,254.68
825,2015-04-05,257.05
826,2015-04-06,258.61
827,2015-04-07,255.52
828,2015-04-08,250.49
829,2015-04-09,244.86
